3,76
141,207
104,205
76,252
117,177
38,218
161,226
85,125
194,242
107,285
14,117
55,153
72,94
30,275
267,281
72,274
5,67
22,234
35,51
34,236
14,59
97,182
25,28
118,290
129,216
9,225
26,261
199,229
116,122
11,46
121,130
38,296
201,279
52,90
102,115
273,277
83,203
13,48
42,267
76,165
8,208
110,218
9,212
128,288
112,147
220,274
32,163
65,261
170,284
99,298
78,107
120,281
131,276
134,165
136,261
57,226
62,264
91,286
107,170
123,230
107,291
7,135
26,263
163,273
120,158
245,271
109,192
81,109
146,180
242,279
23,237
238,279
150,243
104,123
223,225
18,259
45,227
31,60
213,251
113,149
152,209
11,115
178,180
56,99
85,275
179,282
52,113
70,256
127,167
14,195
14,84
25,292
12,180
146,221
19,79
108,188
191,280
17,27
36,255
176,234
199,243
38,148
112,267
59,234
105,234
33,221
121,283
203,256
51,209
91,214
77,127
169,290
15,244
140,194
113,239
175,276
14,249
111,294
35,273
32,70
14,159
83,249
88,214
12,100
173,275
64,255
126,224
29,88
3,200
16,97
45,159
87,95
73,277
115,186
109,132
102,191
82,194
67,217
104,158
106,181
102,272
47,83
106,169
132,195
221,245
11,262
40,70
47,92
28,79
238,283
189,239
113,143
26,144
122,172
142,295
5,225
9,126
77,114
104,165
162,187
134,264
40,113
275,295
29,155
41,250
136,215
130,210
279,293
185,227
32,65
45,285
207,258
13,142
104,253
132,184
102,160
115,269
92,180
64,107
72,119
156,168
179,231
19,216
90,152
36,58
16,297
31,82
90,219
219,230
162,230
94,211
85,287
151,277
195,196
80,228
197,209
58,134
8,184
143,244
35,40
16,62
184,189
39,118
16,179
164,247
39,204
44,221
115,246
66,115
221,294
174,291
138,152
155,189
120,171
123,271
1,200
65,133
36,209
229,245
82,236
104,129
39,263
88,224
119,272
227,245
258,259
109,205
42,281
23,218
27,93
159,171
12,92
40,184
32,77
118,285
37,222
122,280
95,223
270,298
158,205
220,268
130,187
110,142
41,243
155,210
84,262
228,229
209,268
26,98
95,280
107,254
122,273
135,286
18,184
99,157
213,240
9,53
29,107
233,241
116,243
69,123
119,169
37,259
61,149
83,131
74,204
91,285
105,131
100,172
145,149
149,191
93,195
171,231
139,161
16,38
133,228
57,298
158,281
156,288
27,62
126,168
249,266
67,228
1,171
36,103
69,122
12,149
131,208
13,125
72,122
62,170
96,208
109,148
191,273
39,261
223,224
97,147
81,238
74,142
31,221
